# Total Pointers Found: 6648
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 4
# Data xref hits: 6648
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
116BE | seg000 | 27BF2 | word_27BF2 | data_pointer | data_item_size=2
116C1 | seg000 | 27BF4 | word_27BF4 | data_pointer | data_item_size=2
116C5 | seg000 | 27BF6 | word_27BF6 | data_pointer | data_item_size=2
116C9 | seg000 | 27BF2 | word_27BF2 | data_pointer | data_item_size=2
116CC | seg000 | 27BF4 | word_27BF4 | data_pointer | data_item_size=2
116D0 | seg000 | 27BF6 | word_27BF6 | data_pointer | data_item_size=2
116E1 | seg000 | 27BF2 | word_27BF2 | data_pointer | data_item_size=2
116E4 | seg000 | 27BF4 | word_27BF4 | data_pointer | data_item_size=2
116E8 | seg000 | 27BF6 | word_27BF6 | data_pointer | data_item_size=2
116F9 | seg000 | 27BF2 | word_27BF2 | data_pointer | data_item_size=2
116FC | seg000 | 27BF4 | word_27BF4 | data_pointer | data_item_size=2
11700 | seg000 | 27BF6 | word_27BF6 | data_pointer | data_item_size=2
11704 | seg000 | 27BF2 | word_27BF2 | data_pointer | data_item_size=2
11707 | seg000 | 27BF4 | word_27BF4 | data_pointer | data_item_size=2
1170B | seg000 | 27BF6 | word_27BF6 | data_pointer | data_item_size=2
1171C | seg000 | 27BF2 | word_27BF2 | data_pointer | data_item_size=2
1171F | seg000 | 27BF4 | word_27BF4 | data_pointer | data_item_size=2
11723 | seg000 | 27BF6 | word_27BF6 | data_pointer | data_item_size=2
11727 | seg000 | 27D84 | word_27D84 | data_pointer | data_item_size=2
1172D | seg000 | 27D86 | word_27D86 | data_pointer | data_item_size=2
11733 | seg000 | 27D88 | word_27D88 | data_pointer | data_item_size=2
11739 | seg000 | 27C04 | word_27C04 | data_pointer | data_item_size=2
1173C | seg000 | 27C06 | word_27C06 | data_pointer | data_item_size=2
11740 | seg000 | 27C08 | word_27C08 | data_pointer | data_item_size=2
1175C | seg000 | 27C04 | word_27C04 | data_pointer | data_item_size=2
11760 | seg000 | 27C06 | word_27C06 | data_pointer | data_item_size=2
11764 | seg000 | 27C08 | word_27C08 | data_pointer | data_item_size=2
1177D | seg000 | 27BFE | word_27BFE | data_pointer | data_item_size=2
11780 | seg000 | 27C00 | word_27C00 | data_pointer | data_item_size=2
11784 | seg000 | 27C02 | word_27C02 | data_pointer | data_item_size=2
117B1 | seg000 | 27C04 | word_27C04 | data_pointer | data_item_size=2
117B5 | seg000 | 27C06 | word_27C06 | data_pointer | data_item_size=2
117B9 | seg000 | 27C08 | word_27C08 | data_pointer | data_item_size=2
117D2 | seg000 | 27BF2 | word_27BF2 | data_pointer | data_item_size=2
117D5 | seg000 | 27BF4 | word_27BF4 | data_pointer | data_item_size=2
117D9 | seg000 | 27BF6 | word_27BF6 | data_pointer | data_item_size=2
117DD | seg000 | 27BFE | word_27BFE | data_pointer | data_item_size=2
117E1 | seg000 | 27C00 | word_27C00 | data_pointer | data_item_size=2
117E5 | seg000 | 27C02 | word_27C02 | data_pointer | data_item_size=2
117FE | seg000 | 27BF8 | word_27BF8 | data_pointer | data_item_size=2
11801 | seg000 | 27BFA | word_27BFA | data_pointer | data_item_size=2
11805 | seg000 | 27BFC | word_27BFC | data_pointer | data_item_size=2
